Index,verbPT,translation,Level
1,Compor,"To fix,to write, to compose",1
2,Despedir,"To fire,To dismiss, to say goodbye",1
3,Conseguir,"To get,To achieve",1
4,Poder,"Can,to be able to",1
5,Caber,"To fit,To be suitable",1
6,Iniciar,"To start,to begin",1
7,Partir,"To leave,to break",1
8,Levar,"To take,to bring",1
9,Perseguir,"To pursue,to chase",1
10,Subir,"To go up,to climb",1
11,Valer,"To cost,to count",1
12,Contar,"To tell,to count",1
13,Dividir,"To share,to divide",1
14,Ganhar,"To win,to earn",1
15,Acabar,"to finish,To end",1
16,Expor,"To expose,to exhibit",1
17,Achar,"To think,to find",1
18,Sair,"To leave,to go out",1
19,Conter,"To contain,to have",1
20,Tomar,"to take,to have",1
21,Esperar,"To wait,To hope",1
22,Bater,"To hit,to knock",1
23,Deixar,"To leave,to let",1
24,Levantar,"To raise,to lift",1
25,Ouvir,"To hear,to listen",1
26,Fazer,"To do,to make",1
27,Dever,"Must,To owe",1
28,Permitir,"To allow,To permit",1
29,Tirar,"To take off,to remove",1
30,Pedir,"To ask,to request",1
31,Parecer,"To look,to seem",1
32,Impedir,"To prevent,to stop",1
33,Dizer,"To say,to tell",1
34,Ser,To be,1
35,Ter,To have,1
36,Vir,To come,1
37,Estar,To be,1
38,Ir,To go,1
39,Dar,To give,1
40,Haver,To have,1
41,Satisfazer,To satisfy,1
42,Ler,To read,1
43,Trazer,To bring,1
44,Ver,To see,1
45,Prever,To predict,1
46,Manter,To keep,1
47,Obter,To get,1
48,Querer,To want,1
49,Seguir,To follow,1
50,Saber,To know,1
51,P̫r,To put,1
52,Propor,To propose,1
53,Conhecer,To know,1
54,Acontecer,To happen,1
55,Medir,To measure,1
56,Cair,To fall,1
57,Distrair,To distract,1
58,Perder,To lose,1
59,Escrever,To write,1
60,Agredir,To attack,1
61,Dormir,To sleep,1
62,Cobrir,To cover,1
63,Descobrir,To discover,1
64,Rir,To laugh,1
65,Passear,To walk,1
66,Fugir,To escape,1
67,Concluir,To conclude,1
68,Construir,To build,1
69,Destruir,To destroy,1
70,Falar,To speak,1
71,Amar,To love,1
72,Encontrar,To find,1
73,Pensar,To think,1
74,Olhar,To look,1
75,Tornar,To become,1
76,Voltar,To return,1
77,Entrar,To enter,1
78,Chamar,To call,1
79,Andar,To walk,1
80,Trabalhar,To work,1
81,Gostar,To like,1
82,Usar,To use,1
83,Lembrar,To remember,1
84,Tentar,To try,1
85,Precisar,To need,1
86,Perguntar,To ask,1
87,Acreditar,To believe,1
88,Enviar,To send,1
89,Parar,To stop,1
90,Fechar,To close,1
91,Mudar,To change,1
92,Ajudar,To help,1
93,Comer,To eat,1
94,Viver,To live,1
95,Receber,To receive,1
96,Morrer,To die,1
97,Correr,To run,1
98,Responder,To answer,1
99,Existir,To exist,1
100,Assistir,To watch,1